Timestamp,Valor(m)
1755700888,0.375
1755700948,0.375
1755701008,0.375
1755701068,0.375
1755701128,0.375
1755701188,0.375
1755701248,0.375
1755701308,0.375
1755701368,0.375
1755701428,0.375
1755701488,0.375
1755701548,0.375
1755701608,0.375
1755701668,0.375
1755701728,0.375
1755701788,0.375
1755701848,0.375
1755701908,0.375
1755701968,0.375
1755702028,0.375
1755702088,0.375
1755702148,0.375
1755772847,0.404
1755772907,0.574
1755772967,0.574
1755773027,0.574
1755773087,0.574
1755773147,0.574
1755773207,0.574
1755773267,0.574
1755773327,0.574
1755773387,0.574
1755773444,0.574
1766723125,0.574
1755773564,0.574
1755773624,0.574
1755773700,0.574
1755774000,0.574
1755774300,0.574
1755774600,0.574
1755774900,0.574
1755775200,0.574
1755775500,0.574
1755775800,0.573
1755776100,0.573
1755776400,0.573
1755776700,0.573
1755777000,0.573
1755777300,0.573
1755777600,0.445
1755778800,0.529
1755779100,0.579
1755779400,0.578
1755779700,0.578
1755780000,0.578
1755780300,0.578
1755780600,0.578
1755780900,0.326
1755782100,0.582
1755782400,0.581
1755782700,0.581
1755783000,0.580
1755783300,0.580
1755783600,0.579
1755783900,0.580
1755784200,0.580
1755784500,0.579
1755784800,0.579
1755785100,0.579
1755785400,0.579
1755785700,0.579
1755786000,0.578
1755786300,0.578
1755786600,0.578
1755786900,0.578
1755787200,0.578
1755787500,0.578
1755787800,0.578
1755788100,0.578
1755788400,0.578
1756250100,0.658
1756250400,0.658
1756251600,0.654
1756251900,0.654
1756295100,2.626
1756295400,2.626
1756295700,2.626
1756296000,2.629
1756296900,2.666
1756297200,2.671
1756297500,2.668
1756297800,2.622
1756298100,2.625
1756298700,2.657
1756299000,2.657
1756310700,21.000
1756311000,21.000
1756313100,6.491
1756313400,6.531
1756313700,6.560
1756314000,6.558
1756314300,6.561
1756314600,6.558
1756314900,6.561
1756315200,6.432
1756315500,6.703
1756315800,6.541
1756316100,6.543
1756316400,6.550
1756317300,6.547
1756317600,6.544
1756317900,6.549
1756318200,6.550
1756318500,6.546
1756318800,6.548
1756319100,6.550
1756319400,6.545
1756319700,6.546
1756320000,6.555
1756320300,6.555
1756320600,6.555
1756320900,6.547
1756321200,6.548
1756321500,6.553
1756321800,6.551
1756322100,6.558
1756322400,6.548
1756322700,6.553
1756323000,6.554
1756323300,6.556
1756323600,6.564
1756323900,6.550
1756324200,6.553
1756324500,6.554
1756324800,6.551
1756325100,6.552
1756325400,6.559
1756325700,6.554
1756326000,6.556
1756326300,6.557
1756326600,6.556
1756326900,6.555
1756327200,6.560
1756327500,6.559
1756327800,6.565
1756328100,6.561
1756328400,6.557
1756328700,6.563
1756329000,6.564
1756329300,6.569
1756329600,6.564
1756329900,6.566
1756330200,6.562
1756330500,6.564
1756330800,6.565
1756331100,6.562
1756331400,6.565
1756331700,6.571
1756332000,6.567
1756332300,6.570
1756332600,6.566
1756332900,6.566
1756333200,6.563
1756333500,6.568
1756333800,6.574
1756334100,6.563
1756334400,6.566
1756334700,6.576
1756335000,6.572
1756335300,6.567
1756335600,6.567
1756335900,6.577
1756336200,6.570
1756336500,6.574
1756336800,6.574
1756337100,6.574
1756337400,6.572
1756337700,6.575
1756338000,6.571
1756338300,6.569
1756338600,6.578
